epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4612,1.74262,3.01999,1.73448,0.03472,0.79586,0.47416,0.26245,1.45797,3.12462,1.4158,0.00021435,0.00021435,0.00021435
2,101.338,1.53246,1.7067,1.52276,0.75377,0.25507,0.41368,0.24788,1.58745,3.17277,1.49852,0.000434219,0.000434219,0.000434219
3,144.955,1.43809,1.32742,1.47011,0.9785,0.59746,0.86349,0.50358,1.44373,1.92518,1.36585,0.000645033,0.000645033,0.000645033
4,189.301,1.41275,1.18087,1.40744,0.8222,0.60575,0.9233,0.54086,1.49789,1.76102,1.42692,0.000846794,0.000846794,0.000846794
5,243.011,1.40904,1.09629,1.40702,0.89161,0.74591,0.94822,0.54002,1.51296,1.51767,1.41178,0.0010395,0.0010395,0.0010395
6,288.847,1.37267,1.07447,1.37036,0.95763,0.88736,0.9412,0.54663,1.47247,1.50204,1.38103,0.00122315,0.00122315,0.00122315
7,332.761,1.39225,1.06161,1.37361,0.86431,0.73589,0.8702,0.49738,1.47323,1.30812,1.40801,0.00125923,0.00125923,0.00125923
8,376.995,1.40004,1.03293,1.40506,0.88222,0.90165,0.93026,0.47332,1.61281,1.29705,1.48175,0.00123094,0.00123094,0.00123094
9,421.341,1.36808,0.99963,1.37815,0.92514,0.93711,0.96117,0.56627,1.40081,0.98927,1.3787,0.00120265,0.00120265,0.00120265
10,465.311,1.36892,0.97357,1.37974,0.96604,0.94944,0.9715,0.59152,1.38018,0.92988,1.3674,0.00117435,0.00117435,0.00117435
11,509.425,1.35714,0.93969,1.34921,0.91658,0.94116,0.96303,0.57658,1.41302,0.97757,1.38096,0.00114606,0.00114606,0.00114606
12,553.186,1.34794,0.91109,1.35773,0.95982,0.96553,0.97834,0.60275,1.38199,0.91731,1.33677,0.00111776,0.00111776,0.00111776
